Time Units = Minutes

  Process:  Single Loop Jacketed Reactor


  Controller:  PID ( P= DA, I= ARW, D= off, F = off)

  Tuning: Gain = -3.06 [%/°C] , Reset Time = 1.99 [min], Sample Time = 1.0 [sec]

        Time     Controller   Process
       (Min)       Output     Variable   Set Point   Disturbance
        6.25   33.074566   91.610294       92.00       45.00
   6.2666667   33.249218   91.670133       92.00       45.00
   6.2833333   33.167868   91.646509       92.00       45.00
        6.30   33.139688   91.640312       92.00       45.00
   6.3166667    33.19649   91.661708       92.00       45.00
   6.3333333   33.310202    91.70137       92.00       45.00
        6.35    33.14797   91.651273       92.00       45.00
   6.3666667    33.23049   91.680913       92.00       45.00
   6.3833333   33.095739   91.639893       92.00       45.00
        6.40   33.151446   91.660937       92.00       45.00
   6.4166667    33.19655   91.678371       92.00       45.00
   6.4333333   33.174381   91.673858       92.00       45.00
        6.45   33.244175   91.699186       92.00       45.00
   6.4666667   33.314945   91.724619       92.00       45.00
   6.4833333   33.232539     91.7002       92.00       45.00
        6.50   33.243998   91.706404       92.00       45.00
   6.5166667   33.174633   91.686362       92.00       45.00
   6.5333333   33.150645   91.681193       92.00       45.00
        6.55   33.169897    91.69008       92.00       45.00
   6.5666667   33.277569   91.727549       92.00       45.00
   6.5833333   33.284664   91.732111       92.00       45.00
        6.60   33.258106   91.725729       92.00       45.00
   6.6166667   33.217807   91.714947       92.00       45.00
   6.6333333   33.190223   91.708375       92.00       45.00
        6.65   33.323172   91.753884       92.00       45.00
   6.6666667   33.289422    91.74499       92.00       45.00
   6.6833333     33.2051   91.719781       92.00       45.00
        6.70   33.243733   91.734629       92.00       45.00
   6.7166667    33.18933   91.719201       92.00       45.00
   6.7333333   33.249097   91.740903       92.00       45.00
        6.75   33.329689   91.769174       92.00       45.00
   6.7666667   33.295931   91.760151       92.00       45.00
   6.7833333   33.258875   91.750133       92.00       45.00
        6.80   33.314012   91.770078       92.00       45.00
   6.8166667   33.288294   91.763653       92.00       45.00
   6.8333333   33.302381   91.770181       92.00       45.00
        6.85   33.298349   91.770783       92.00       45.00
   6.8666667   33.245751   91.755641       92.00       45.00
   6.8833333   33.334023   91.786278       92.00       45.00
        6.90   33.299201   91.776768       92.00       45.00
   6.9166667   33.172092   91.737428       92.00       45.00
   6.9333333   33.232508   91.759188       92.00       45.00
        6.95   33.357024   91.801542       92.00       45.00
   6.9666667   33.333563   91.795587       92.00       45.00
   6.9833333   33.288616   91.782718       92.00       45.00
        7.00   33.324657   91.796203       92.00       45.00
   7.0166667   33.368539   91.812117       92.00       45.00
   7.0333333   33.376731   91.816333       92.00       45.00
        7.05   33.293058   91.790741       92.00       45.00
   7.0666667   33.357193   91.813264       92.00       45.00
   7.0833333   33.298693   91.795856       92.00       45.00
        7.10   33.334897   91.809285       92.00       45.00
   7.1166667   33.336651   91.811438       92.00       45.00
   7.1333333    33.30649   91.803229       92.00       45.00
        7.15   33.383556   91.829839       92.00       45.00
   7.1666667   33.335965   91.815829       92.00       45.00
   7.1833333   33.330953   91.815734       92.00       45.00
        7.20   33.342787     91.8211       92.00       45.00
   7.2166667   33.360945    91.82847       92.00       45.00
   7.2333333   33.335992   91.821808       92.00       45.00
        7.25   33.274123   91.803237       92.00       45.00
   7.2666667   33.248739   91.796645       92.00       45.00
   7.2833333   33.304606    91.81644       92.00       45.00
        7.30   33.362177   91.836622       92.00       45.00
   7.3166667   33.436446   91.862049       92.00       45.00
   7.3333333   33.450089   91.867616       92.00       45.00
        7.35   33.292317   91.817584       92.00       45.00
   7.3666667   33.328703   91.830891       92.00       45.00
   7.3833333   33.353902   91.840462       92.00       45.00
        7.40   33.307252   91.826669       92.00       45.00
   7.4166667   33.288842   91.822142       92.00       45.00
   7.4333333   33.405763   91.861511       92.00       45.00
        7.45   33.376707   91.853245       92.00       45.00
   7.4666667   33.423677   91.869686       92.00       45.00
   7.4833333   33.349514   91.846734       92.00       45.00
        7.50   33.375285   91.856359       92.00       45.00
   7.5166667   33.347622   91.848586       92.00       45.00
   7.5333333   33.356987   91.852879       92.00       45.00
        7.55   33.334649   91.846862       92.00       45.00
   7.5666667   33.415973   91.874489       92.00       45.00
   7.5833333   33.428634   91.879635       92.00       45.00
        7.60   33.288234   91.835133       92.00       45.00
   7.6166667   33.256722    91.82629       92.00       45.00
   7.6333333   33.329698   91.851383       92.00       45.00
        7.65   33.409866   91.878599       92.00       45.00
   7.6666667   33.399935   91.876388       92.00       45.00
   7.6833333   33.326602   91.853649       85.00       45.00
        7.70   54.925824   91.854808       85.00       45.00
   7.7166667   55.127074   91.863096       85.00       45.00
   7.7333333   55.314958   91.866984       85.00       45.00
        7.75   55.460587   91.857145       85.00       45.00
   7.7666667   55.659885   91.864781       85.00       45.00
   7.7833333   55.807536   91.855616       85.00       45.00
        7.80   56.106446   91.895547       85.00       45.00
   7.8166667   56.207288   91.870956       85.00       45.00
   7.8333333   56.334151   91.855003       85.00       45.00
        7.85    56.62303   91.891688       85.00       45.00
   7.8666667   56.742821   91.873271       85.00       45.00
   7.8833333   56.876015    91.85935       85.00       45.00
        7.90   57.019548   91.848895       85.00       45.00
   7.9166667   57.264405   91.871364       85.00       45.00
   7.9333333   57.514248   91.895263       85.00       45.00
        7.95   57.541316   91.846766       85.00       45.00
   7.9666667   57.775691   91.865856       85.00       45.00
   7.9833333   57.916872   91.854585       85.00       45.00
        8.00   58.009664   91.827726       85.00       45.00
   8.0166667   58.166721   91.821916       85.00       45.00
   8.0333333   58.400171   91.840913       85.00       45.00
        8.05   58.508743   91.819281       85.00       45.00
   8.0666667   58.750864    91.84111       85.00       45.00
   8.0833333   58.832857   91.810863       85.00       45.00
        8.10   58.853673    91.76104       85.00       45.00
   8.1166667   58.971499   91.743071       85.00       45.00
   8.1333333   59.157087   91.747211       85.00       45.00
        8.15   59.273405   91.728868       85.00       45.00
   8.1666667   59.515509   91.751442       85.00       45.00
   8.1833333   59.622515   91.730046       85.00       45.00
        8.20    59.72758   91.708198       85.00       45.00
   8.2166667   59.840351    91.68903       85.00       45.00
   8.2333333    59.89419   91.650921       85.00       45.00
        8.25   60.033686   91.640889       85.00       45.00
   8.2666667   60.078291   91.600188       85.00       45.00
   8.2833333   60.276386   91.609568       85.00       45.00
        8.30   60.335609   91.573865       85.00       45.00
   8.3166667   60.324785   91.515757       85.00       45.00
   8.3333333    60.43218   91.496444       85.00       45.00
        8.35   60.454399   91.449688       85.00       45.00
   8.3666667   60.620781    91.45004       85.00       45.00
   8.3833333   60.675315   91.414142       85.00       45.00
        8.40    60.71237   91.372878       85.00       45.00
   8.4166667   60.788194    91.34452       85.00       45.00
   8.4333333   60.784474   91.290619       85.00       45.00
        8.45   60.936654    91.28769       85.00       45.00
   8.4666667   60.914056   91.228143       85.00       45.00
   8.4833333   61.018697   91.210327       85.00       45.00
        8.50   61.031772   91.162984       85.00       45.00
   8.5166667   61.097099   91.132967       85.00       45.00
   8.5333333   61.092897   91.080667       85.00       45.00
        8.55   61.176038   91.057108       85.00       45.00
   8.5666667   61.179456   91.007907       85.00       45.00
   8.5833333   61.221608   90.971669       85.00       45.00
        8.60   61.280865   90.941274       85.00       45.00
   8.6166667    61.29122   90.895284       85.00       45.00
   8.6333333   61.344163   90.863478       85.00       45.00
        8.65   61.309266   90.803468       85.00       45.00
   8.6666667   61.339114    90.76494       85.00       45.00
   8.6833333   61.366692   90.725996       85.00       45.00
        8.70   61.287914   90.652907       85.00       45.00
   8.7166667   61.297608   90.609098       85.00       45.00
   8.7333333   61.226345   90.539416       85.00       45.00
        8.75    61.27013   90.507597       85.00       45.00
   8.7666667   61.248222   90.454753       85.00       45.00
   8.7833333   61.126919   90.370135       85.00       45.00
        8.80   61.329194   90.391087       85.00       45.00
   8.8166667   61.185036   90.299591       85.00       45.00
   8.8333333   61.207343   90.262804       85.00       45.00
        8.85   61.149112   90.200222       85.00       45.00
   8.8666667   61.156384   90.159387       85.00       45.00
   8.8833333   61.093287   90.096086       85.00       45.00
        8.90   61.137381    90.06805       85.00       45.00
   8.9166667   61.116988   90.019348       85.00       45.00
   8.9333333   61.012752   89.943877       85.00       45.00
        8.95   61.056779   89.917084       85.00       45.00
   8.9666667    60.95842   89.844368       85.00       45.00
   8.9833333   60.935433   89.796682       85.00       45.00
        9.00   60.977579   89.770502       85.00       45.00
   9.0166667   60.790093   89.670119       85.00       45.00
   9.0333333    60.72964   89.611738       85.00       45.00
        9.05   60.730893   89.573841       85.00       45.00
   9.0666667   60.611359   89.497113       85.00       45.00
   9.0833333   60.630255   89.465886       85.00       45.00
        9.10   60.504228    89.38795       85.00       45.00
   9.1166667   60.538524    89.36262       85.00       45.00
   9.1333333   60.472545   89.305003       85.00       45.00
        9.15    60.38089   89.239544       85.00       45.00
   9.1666667    60.23222    89.15615       85.00       45.00
   9.1833333   60.227679   89.120159       85.00       45.00
