Time Units = Minutes

  Process:  Single Loop Jacketed Reactor


  Controller:  PID ( P= DA, I= ARW, D= off, F = off)

  Tuning: Gain = -4.0 [%/°C] , Reset Time = 4.0 [min], Sample Time = 1.0 [sec]

        Time     Controller   Process
       (Min)       Output     Variable   Set Point   Disturbance
   6.5833333       67.10   84.987141   84.987141       50.00
        6.60       67.10   85.004362   85.004362       50.00
   6.6166667       67.10   85.002901   85.002901       50.00
   6.6333333       67.10   85.004937   85.004937       50.00
        6.65       67.10   85.013873   85.013873       50.00
   6.6666667       67.10   84.982491   84.982491       50.00
   6.6833333       67.10   85.036843   85.036843       50.00
        6.70       67.10   84.986205   84.986205       50.00
   6.7166667       67.10   85.006735   85.006735       50.00
   6.7333333       67.10   85.003148   85.003148       50.00
        6.75       67.10    84.98352    84.98352       50.00
   6.7666667       67.10   84.987889   84.987889       50.00
   6.7833333       67.10   85.030491   85.030491       50.00
        6.80       67.10   85.026245   85.026245       50.00
   6.8166667       67.10   84.983928   84.983928       50.00
   6.8333333       67.10   84.987634   84.987634       50.00
        6.85       67.10   85.012782   85.012782       50.00
   6.8666667       67.10   85.013893   85.013893       50.00
   6.8833333       67.10   84.993835   84.993835       50.00
        6.90       67.10    84.99667    84.99667       50.00
   6.9166667       67.10   85.017558   85.017558       50.00
   6.9333333       67.10   84.989034   84.989034       50.00
        6.95       67.10   84.986353   84.986353       50.00
   6.9666667       67.10   85.007867   85.007867       50.00
   6.9833333       67.10   84.962827   84.962827       50.00
        7.00       67.10   84.981561   84.981561       50.00
   7.0166667       67.10   84.990892   84.990892       50.00
   7.0333333       67.10   84.990003   84.990003       50.00
        7.05       67.10   85.011661   85.011661       50.00
   7.0666667       67.10   85.008117   85.008117       50.00
   7.0833333       67.10   85.011029   85.011029       50.00
        7.10       67.10   85.001855   85.001855       50.00
   7.1166667       67.10   84.991458   84.991458       50.00
   7.1333333       67.10   85.002473   85.002473       50.00
        7.15       67.10   85.017168   85.017168       50.00
   7.1666667       67.10   85.032968   85.032968       50.00
   7.1833333       67.10   84.990733   84.990733       50.00
        7.20       67.10   84.985533   84.985533       50.00
   7.2166667       67.10   85.038471   85.038471       50.00
   7.2333333       67.10   84.998336   84.998336       50.00
        7.25       67.10   85.008449   85.008449       50.00
   7.2666667       67.10   84.986014   84.986014       50.00
   7.2833333       67.10   85.004156   85.004156       50.00
        7.30       67.10   84.996844   84.996844       50.00
   7.3166667       67.10   84.989203   84.989203       50.00
   7.3333333       67.10   85.014056   85.014056       50.00
        7.35       67.10   85.013505   85.013505       50.00
   7.3666667       67.10   85.013327   85.013327       50.00
   7.3833333       67.10   85.015338   85.015338       50.00
        7.40       67.10   85.015872   85.015872       50.00
   7.4166667       67.10   84.983201   84.983201       50.00
   7.4333333       67.10   85.009821   85.009821       50.00
        7.45       67.10   85.010252   85.010252       50.00
   7.4666667       67.10   84.993399   84.993399       50.00
   7.4833333       67.10   84.981612   84.981612       50.00
        7.50       67.10    85.00031    85.00031       50.00
   7.5166667       67.10   85.018662   85.018662       50.00
   7.5333333       67.10   85.010354   85.010354       50.00
        7.55       67.10   85.015867   85.015867       50.00
   7.5666667       67.10   85.002204   85.002204       50.00
   7.5833333       67.10   84.963484   84.963484       50.00
        7.60       67.10   85.009698   85.009698       50.00
   7.6166667       67.10   84.993629   84.993629       50.00
   7.6333333       67.10   84.994753   84.994753       50.00
        7.65       67.10   85.028002   85.028002       50.00
   7.6666667       67.10   84.980114   84.980114       50.00
   7.6833333       67.10   85.007453   85.007453       50.00
        7.70       67.10   85.012177   85.012177       50.00
   7.7166667       67.10   84.983925   84.983925       50.00
   7.7333333       67.10   85.016663   85.016663       50.00
        7.75       67.10   85.039431   85.039431       50.00
   7.7666667       67.10   84.995582   84.995582       50.00
   7.7833333       67.10    85.00626    85.00626       50.00
        7.80       67.10   84.967655   84.967655       50.00
   7.8166667       67.10   84.996712   84.996712       50.00
   7.8333333       67.10   85.003253   85.003253       50.00
        7.85       67.10   84.994758   84.994758       50.00
   7.8666667       67.10   84.991781   84.991781       50.00
   7.8833333       67.10   85.003825   85.003825       50.00
        7.90       67.10   84.993871   84.993871       50.00
   7.9166667       67.10   85.028952   85.028952       50.00
   7.9333333       67.10   85.001383   85.001383       50.00
        7.95       67.10   84.980178   84.980178       50.00
   7.9666667       67.10   84.984895   84.984895       50.00
   7.9833333       67.10   84.978893   84.978893       50.00
        8.00       67.10    85.00008    85.00008       50.00
   8.0166667       67.10   84.992761   84.992761       50.00
   8.0333333       67.10   84.986862   84.986862       50.00
        8.05       67.10    85.01678    85.01678       50.00
   8.0666667       67.10   84.994325   84.994325       50.00
   8.0833333       67.10   84.985084   84.985084       50.00
        8.10       67.10   85.021496   85.021496       50.00
   8.1166667       67.10   85.012724   85.012724       50.00
   8.1333333       67.10    84.99499    84.99499       50.00
        8.15       67.10    84.99534    84.99534       50.00
   8.1666667       67.10   85.012014   85.012014       50.00
   8.1833333       67.10   84.978948   84.978948       50.00
        8.20       67.10   85.006966   85.006966       50.00
   8.2166667       67.10   85.004356   85.004356       50.00
   8.2333333       67.10   84.985774   84.985774       50.00
        8.25       67.10   85.024094   85.024094       50.00
   8.2666667       67.10   85.016716   85.016716       50.00
